sample,chromosome,start,end,segVal
P09,22,22100001,23000000,9
P09,22,23000001,23100000,7
P09,22,23100001,23200000,6
P09,22,23200001,27700000,3
P09,22,27700001,41100000,2
P09,22,41100001,50700000,1
P10,1,900001,2900000,4
P10,1,2900001,5300000,5
P10,1,5300001,7100000,4
P10,1,7100001,8000000,5
P10,1,8000001,28000000,4
P10,1,28000001,29200000,3
P10,1,29200001,29300000,4
P10,1,29300001,30300000,5
P10,1,30300001,30600000,6
P10,1,30600001,30700000,5
P10,1,30700001,31300000,4
P10,1,31300001,32800000,3
P10,1,32800001,34800000,4
P10,1,34800001,36400000,3
P10,1,36400001,38800000,4
P10,1,38800001,40600000,3
P10,1,40600001,47800000,4
P10,1,47800001,50400000,5
P10,1,50400001,57100000,4
P10,1,57100001,60300000,5
P10,1,60300001,69100000,4
P10,1,69100001,70100000,5
P10,1,70100001,113200000,4
P10,1,113200001,114800000,3
P10,1,114800001,116800000,4
P10,1,116800001,147900000,5
P10,1,149900001,151500000,4
P10,1,151500001,152300000,5
P10,1,152300001,153800000,6
P10,1,153800001,156300000,5
P10,1,156300001,163600000,6
P10,1,163600001,173600000,5
P10,1,173600001,175100000,4
P10,1,175100001,176400000,5
P10,1,176400001,178100000,6
P10,1,178100001,211500000,5
P10,1,211500001,214200000,4
P10,1,214200001,225700000,5
P10,1,225700001,228400000,4
P10,1,228400001,235000000,5
P10,1,235000001,235500000,3
P10,1,235600001,236800000,4
P10,1,236800001,248800000,5
P10,1,248800001,248900000,4
P10,2,1,31900000,4
P10,2,31900001,32800000,3
P10,2,32800001,42100000,4
P10,2,42100001,47300000,3
P10,2,47300001,112100000,4
P10,2,112100001,122400000,5
P10,2,122400001,127200000,4
P10,2,127200001,128300000,3
P10,2,128300001,169400000,4
P10,2,169400001,170000000,3
P10,2,170000001,171100000,4
P10,2,171100001,172400000,3
P10,2,172400001,195800000,4
P10,2,195800001,204400000,3
P10,2,204400001,239800000,4
P10,2,239800001,242100000,3
P10,3,100001,1300000,3
P10,3,1300001,17900000,4
P10,3,17900001,19800000,5
P10,3,19800001,48200000,4
P10,3,48200001,49400000,3
P10,3,49400001,80600000,4
P10,3,80600001,97700000,5
P10,3,97700001,131000000,4
P10,3,131000001,135900000,5
P10,3,135900001,179100000,4
P10,3,179100001,179600000,3
P10,3,179600001,198100000,4
P10,4,100001,1100000,4
P10,4,1100001,4900000,5
P10,4,4900001,5000000,6
P10,4,5000001,5700000,7
P10,4,5700001,5800000,6
P10,4,5800001,31900000,5
P10,4,31900001,33100000,4
P10,4,33100001,39000000,5
P10,4,39000001,39400000,4
P10,4,39400001,40100000,3
P10,4,40100001,40200000,4
P10,4,40200001,48000000,5
P10,4,48000001,55100000,4
P10,4,55100001,189500000,3
P10,5,100001,400000,3
P10,5,400001,9000000,4
P10,5,9000001,10800000,5
P10,5,10800001,32600000,4
P10,5,32600001,35600000,5
P10,5,35600001,69200000,4
P10,5,69200001,72200000,5
P10,5,72200001,132600000,4
P10,5,132600001,135100000,3
P10,5,135100001,181300000,4
P10,6,400001,5400000,4
P10,6,5400001,6600000,5
P10,6,6600001,29100000,4
P10,6,29100001,33400000,5
P10,6,33400001,51700000,4
P10,6,51700001,55300000,5
P10,6,55300001,73100000,4
P10,6,73100001,73800000,3
P10,6,73800001,79100000,4
P10,6,79100001,84100000,5
P10,6,84100001,88900000,4
P10,6,88900001,89900000,3
P10,6,89900001,110700000,4
P10,6,110700001,111100000,3
P10,6,111100001,114600000,4
P10,6,114600001,115800000,5
P10,6,115800001,170600000,4
P10,7,1,900000,5
P10,7,900001,2800000,6
P10,7,2800001,16500000,5
P10,7,16500001,16900000,4
P10,7,16900001,30400000,5
P10,7,30400001,31600000,6
P10,7,31600001,33500000,5
P10,7,33500001,37100000,6
P10,7,37100001,55600000,5
P10,7,55800001,56300000,4
P10,7,64600001,84700000,3
P10,7,84700001,89400000,4
P10,7,89400001,99800000,5
P10,7,99800001,103200000,6
P10,7,103300001,108800000,5
P10,7,108800001,123800000,6
P10,7,123800001,124500000,7
P10,7,124500001,128000000,6
P10,7,128000001,130800000,5
P10,7,130800001,141800000,6
P10,7,141900001,142500000,7
P10,7,142500001,148000000,6
P10,7,148000001,149400000,7
P10,7,149400001,152700000,6
P10,7,152900001,154400000,7
P10,7,154400001,157900000,6
P10,7,157900001,158500000,7
P10,7,158500001,158900000,6
P10,7,158900001,159200000,5
P10,8,500001,1100000,4
P10,8,1100001,17000000,3
P10,8,17000001,30100000,4
P10,8,30100001,32300000,3
P10,8,32300001,47800000,4
P10,8,47800001,48500000,5
P10,8,48500001,51000000,4
P10,8,51000001,66400000,5
P10,8,66400001,67500000,4
P10,8,67600001,113000000,5
P10,8,113000001,114200000,6
P10,8,114200001,130800000,5
P10,8,130800001,140400000,6
P10,8,140400001,143600000,5
P10,8,143600001,145000000,4
P10,9,200001,34500000,4
P10,9,34500001,36000000,5
P10,9,36000001,38700000,4
P10,9,38700001,68600000,5
P10,9,68600001,95200000,4
P10,9,95200001,97600000,3
P10,9,97600001,138100000,4
P10,10,100001,43800000,4
P10,10,43800001,49600000,5
P10,10,49600001,67800000,4
P10,10,67800001,72100000,3
P10,10,72100001,122400000,4
P10,10,122400001,126600000,5
P10,10,126600001,133600000,4
P10,11,200001,4500000,4
P10,11,4500001,6600000,5
P10,11,6600001,9200000,4
P10,11,9200001,12700000,3
P10,11,12700001,58500000,4
P10,11,58500001,63700000,5
P10,11,63700001,64000000,4
P10,11,64000001,66900000,3
P10,11,66900001,108800000,4
P10,11,108800001,109800000,5
P10,11,109800001,110000000,4
P10,11,110000001,135086622,3
P10,12,100001,20200000,3
P10,12,20200001,24100000,4
P10,12,24100001,24900000,5
P10,12,24900001,25400000,6
P10,12,25400001,25800000,7
P10,12,25800001,26500000,5
P10,12,26500001,54600000,4
P10,12,54600001,56200000,5
P10,12,56200001,97300000,4
P10,12,97300001,98100000,5
P10,12,98100001,105800000,4
P10,12,105800001,107000000,5
P10,12,107000001,114100000,4
P10,12,114100001,117900000,5
P10,12,117900001,118600000,4
P10,12,118600001,119600000,5
P10,12,119600001,121300000,4
P10,12,121300001,123600000,3
P10,12,123600001,126400000,4
P10,12,126400001,133275309,5
P10,13,18900001,19000000,5
P10,13,19200001,19300000,4
P10,13,19600001,20600000,3
P10,13,20600001,38600000,4
P10,13,38600001,114364328,3
P10,14,20000001,21200000,3
P10,14,21200001,23400000,4
P10,14,23500001,27400000,5
P10,14,27400001,27700000,4
P10,14,27900001,106900000,3
P10,15,22800001,24800000,3
P10,15,24800001,42300000,4
P10,15,42300001,45600000,3
P10,15,45600001,59400000,4
P10,15,59400001,66700000,3
P10,15,66700001,85800000,4
P10,15,85800001,88800000,5
P10,15,88800001,101800000,4
P10,16,1,55500000,4
P10,16,55500001,61400000,5
P10,16,61400001,90100000,4
P10,17,200001,1200000,4
P10,17,1200001,27300000,3
P10,17,27300001,27500000,4
P10,17,27500001,27900000,5
P10,17,27900001,40000000,4
P10,17,40000001,45200000,5
P10,17,45200001,57800000,4
P10,17,57800001,66400000,3
P10,17,66400001,83200000,4
P10,18,200001,11800000,4
P10,18,11800001,22100000,3
P10,18,22100001,31800000,4
P10,18,31800001,32200000,3
P10,18,32200001,80300000,4
P10,19,300001,1000000,4
P10,19,1000001,13700000,3
P10,19,13700001,14000000,4
P10,19,14000001,16800000,5
P10,19,16800001,19100000,6
P10,19,19100001,20000000,5
P10,19,20000001,20100000,4
P10,19,20800001,27700000,3
P10,19,27800001,34800000,4
P10,19,34800001,35900000,6
P10,19,35900001,38500000,5
P10,19,38500001,55200000,4
P10,19,55200001,56800000,3
P10,19,56800001,58600000,4
P10,20,1,12200000,4
P10,20,12200001,19200000,5
P10,20,19200001,22900000,4
P10,20,22900001,24000000,5
P10,20,24100001,37300000,4
P10,20,37300001,42200000,5
P10,20,42200001,43300000,6
P10,20,43300001,47800000,5
P10,20,47900001,50100000,6
P10,20,50100001,62700000,5
P10,20,62700001,64300000,4
P10,21,10200001,46700000,4
P10,22,16900001,20800000,4
P10,22,20800001,26700000,5
P10,22,26700001,33500000,4
P10,22,33500001,36600000,5
P10,22,36600001,49800000,4
P10,22,49800001,50200000,3
P10,22,50200001,50700000,2
